"","Interval","MinDepth","MaxDepth","MeanDepth","LowerTimeBound","UpperTimeBound","TimeInterval"
"1",0,0,0,0,0,0,0.1
"2",1,-0.0479,-0.5037,-0.26604,0.1001,1,1
"3",2,-0.576,-1.2984,-0.92512,1.1001,2,1
"4",3,-1.4072,-2.3284,-1.85497,2.1001,3,1
"5",4,-2.4602,-3.562,-3.03129,3.1001,4,1
"6",5,-3.6715,-4.8598,-4.24602,4.1001,5,1
"7",6,-5.1123,-7.4404,-6.22942,5.1001,6,1
"8",7,-7.7391,-10.0292,-8.91797,6.1001,7,1
"9",8,-10.2742,-12.8022,-11.4889,7.1001,8,1
"10",9,-13.1592,-17.4732,-15.158,8.1001,9,1
"11",10,-18.1362,-25.3052,-21.5892,9.1001,10,1
"12",11,-26.1442,-35.2772,-30.3516,10.1,11,1
"13",12,-36.5672,-49.9132,-42.9884,11.1,12,1
"14",13,-51.4632,-66.2442,-58.6523,12.1,13,1
"15",14,-67.9272,-81.9602,-74.9845,13.1,14,1
"16",15,-83.4052,-95.9162,-89.6966,14.1,15,1
"17",16,-97.1802,-107.6412,-102.5058,15.1,16,1
"18",17,-108.6012,-115.6612,-112.2942,16.1,17,1
"19",18,-116.2712,-120.4612,-118.5302,17.1,18,1
"20",19,-120.7012,-121.9412,-121.3912,18.1,19,1
"21",20,-121.8912,-121.9512,-121.9272,19.1,20,1
"22",21,-121.3412,-121.8512,-121.5352,20.1,21,1
"23",22,-120.4412,-121.2812,-120.8652,21.1,22,1
"24",23,-119.3912,-120.2712,-119.7582,22.1,23,1
"25",24,-117.6812,-119.2712,-118.5132,23.1,24,1
"26",25,-116.0212,-117.4912,-116.7682,24.1,25,1
"27",26,-113.7712,-115.8512,-114.8322,25.1,26,1
"28",27,-111.1012,-113.5512,-112.4042,26.1,27,1
"29",28,-107.8312,-110.7912,-109.3192,27.1,28,1
"30",29,-104.4912,-107.5112,-106.0362,28.1,29,1
"31",30,-101.1912,-104.1712,-102.7022,29.1,30,1
"32",31,-98.5612,-100.8912,-99.6972,30.1,31,1
"33",32,-96.9922,-98.3692,-97.6405,31.1,32,1
"34",33,-95.3792,-96.8482,-96.1303,32.1,33,1
"35",34,-93.7242,-95.2162,-94.4964,33.1,34,1
"36",35,-91.9502,-93.5612,-92.793,34.1,35,1
"37",36,-89.8592,-91.7662,-90.8502,35.1,36,1
"38",37,-88.4872,-89.6962,-89.1247,36.1,37,1
"39",38,-86.9962,-88.3402,-87.6222,37.1,38,1
"40",39,-85.6762,-86.8932,-86.2744,38.1,39,1
"41",40,-84.5462,-85.5422,-85.0499,39.1,40,1
"42",41,-82.9822,-84.4382,-83.7515,40.1,41,1
"43",42,-81.6872,-82.8482,-82.2465,41.1,42,1
"44",43,-80.1322,-81.5572,-80.8706,42.1,43,1
"45",44,-78.9512,-79.9942,-79.4473,43.1,44,1
"46",45,-78.0512,-78.8612,-78.4581,44.1,45,1
"47",46,-77.4942,-78.0012,-77.7148,45.1,46,1
"48",47,-77.4782,-77.8752,-77.6223,46.1,47,1
"49",48,-77.9562,-78.1802,-78.1016,47.1,48,1
"50",49,-77.9122,-78.1882,-78.0995,48.1,49,1
"51",50,-77.3412,-77.8682,-77.5691,49.1,50,1
"52",51,-77.2892,-77.3302,-77.3076,50.1,51,1
"53",52,-77.3472,-77.6272,-77.4846,51.1,52,1
"54",53,-77.6902,-78.2092,-77.946,52.1,53,1
"55",54,-78.3322,-79.3182,-78.83,53.1,54,1
"56",55,-79.4422,-80.1862,-79.8438,54.1,55,1
"57",56,-80.2472,-81.5962,-80.8074,55.1,56,1
"58",57,-81.8322,-84.0662,-82.9571,56.1,57,1
"59",58,-84.3642,-86.5312,-85.4741,57.1,58,1
"60",59,-86.6622,-88.2162,-87.3332,58.1,59,1
"61",60,-88.4442,-90.6882,-89.606,59.1,60,1
"62",61,-90.8502,-92.2712,-91.6151,60.1,61,1
"63",62,-92.1422,-92.3952,-92.2783,61.1,62,1
"64",63,-92.1302,-92.5092,-92.2647,62.1,63,1
"65",64,-91.8632,-92.4872,-92.2557,63.1,64,1
"66",65,-90.6322,-91.6902,-91.056,64.1,65,1
"67",66,-90.5272,-90.7862,-90.6228,65.1,66,1
"68",67,-89.4942,-90.7102,-90.1416,66.1,67,1
"69",68,-86.0052,-89.2052,-87.6373,67.1,68,1
"70",69,-82.1352,-85.6072,-83.8484,68.1,69,1
"71",70,-77.6442,-81.6932,-79.6783,69.1,70,1
"72",71,-71.9972,-77.1052,-74.6056,70.1,71,1
"73",72,-65.7882,-71.3812,-68.5947,71.1,72,1
"74",73,-59.5622,-65.1712,-62.3478,72.1,73,1
"75",74,-53.9622,-58.9972,-56.4917,73.1,74,1
"76",75,-48.4742,-53.4062,-50.884,74.1,75,1
"77",76,-45.3772,-48.1032,-46.6749,75.1,76,1
"78",77,-43.2342,-45.1762,-44.2786,76.1,77,1
"79",78,-40.4112,-43.0372,-41.8015,77.1,78,1
"80",79,-37.9052,-40.1782,-39.0322,78.1,79,1
