Time,Total Area,Andaman Area,SCS Area,Andaman Overlap,Andaman Percent Similarity,SCS Overlap,SCS Percent Similarity
-1,7.94E+10,3.42E+10,1.44E+10,,,,
0,3.99E+11,1.29E+11,1.29E+11,1.29E+11,99.62187993,1.28E+11,99.53969007
1,4.01E+11,1.30E+11,1.29E+11,1.20E+11,92.76674087,1.20E+11,93.06887769
2,4.10E+11,1.33E+11,1.31E+11,1.17E+11,88.01856512,1.19E+11,90.52171663
3,4.08E+11,1.29E+11,1.30E+11,1.07E+11,82.37620703,1.12E+11,86.14482886
4,3.89E+11,1.19E+11,1.23E+11,1.01E+11,85.04070357,1.12E+11,91.10896802
5,4.10E+11,1.23E+11,1.35E+11,9.87E+10,80.26836905,1.17E+11,86.52884665
6,4.11E+11,1.19E+11,1.40E+11,9.10E+10,76.64282163,1.10E+11,78.4224738
7,4.20E+11,1.18E+11,1.47E+11,9.07E+10,76.76880506,1.17E+11,79.35034171
8,4.35E+11,1.17E+11,1.56E+11,7.60E+10,64.69947402,1.12E+11,71.39290104
9,4.52E+11,1.07E+11,1.74E+11,5.04E+10,46.97140515,7.97E+10,45.88130987
10,4.60E+11,8.53E+10,1.88E+11,3.08E+10,36.12000516,5.47E+10,29.11181674
11,4.69E+11,6.58E+10,2.11E+11,2.00E+10,30.45672164,2.92E+10,13.87428843
12,4.34E+11,6.02E+10,2.08E+11,1.33E+10,22.10517571,1.64E+10,7.862431473
13,3.41E+11,6.46E+10,1.57E+11,1.14E+10,17.63622291,1.25E+10,7.96453982
14,2.44E+11,5.64E+10,1.19E+11,1.26E+10,22.24959677,1.29E+10,10.77327925
15,1.65E+11,3.87E+10,8.10E+10,1.23E+10,31.9391635,1.80E+10,22.25719646
16,1.28E+11,3.08E+10,6.39E+10,1.54E+10,50.09900347,2.45E+10,38.30926802
17,1.09E+11,2.55E+10,5.79E+10,1.59E+10,62.44507219,3.21E+10,55.49453396
18,9.22E+10,2.08E+10,4.90E+10,1.63E+10,78.6313253,3.87E+10,79.10743464
19,8.54E+10,1.88E+10,4.67E+10,1.83E+10,96.9924013,4.59E+10,98.25046041
20,8.74E+10,1.91E+10,4.85E+10,1.91E+10,100,4.85E+10,100
21,8.77E+10,1.91E+10,4.86E+10,1.91E+10,100,4.86E+10,100
22,8.88E+10,1.94E+10,4.90E+10,1.86E+10,95.64276885,4.64E+10,94.57811672
23,9.10E+10,1.99E+10,4.95E+10,1.90E+10,95.41570323,4.68E+10,94.57581938
24,9.39E+10,2.11E+10,5.06E+10,1.93E+10,91.51001468,4.51E+10,89.04225908
25,9.22E+10,2.08E+10,4.90E+10,1.98E+10,95.55876686,4.61E+10,94.21914563
26,1.01E+11,2.27E+10,5.37E+10,2.00E+10,88.18682529,4.48E+10,83.43610858
27,9.88E+10,2.31E+10,5.15E+10,2.12E+10,92.03988728,4.52E+10,87.85477009
28,1.10E+11,2.56E+10,5.81E+10,2.27E+10,88.41037644,4.71E+10,80.98505563
29,1.15E+11,2.62E+10,6.11E+10,2.20E+10,83.9481213,4.57E+10,74.78256597
30,1.14E+11,2.66E+10,5.91E+10,2.41E+10,90.68051792,5.14E+10,86.90065598
31,1.27E+11,3.01E+10,6.47E+10,2.73E+10,90.48804781,5.70E+10,88.15626739
32,1.31E+11,3.20E+10,6.55E+10,3.03E+10,94.7197502,6.16E+10,94.01108042
33,1.35E+11,3.34E+10,6.69E+10,3.01E+10,90.0598265,5.88E+10,87.88639386
34,1.32E+11,3.33E+10,6.43E+10,3.15E+10,94.55917275,5.99E+10,93.17067858
35,1.43E+11,3.49E+10,7.08E+10,3.14E+10,89.78499241,6.16E+10,86.96112775
36,1.49E+11,3.69E+10,7.46E+10,3.48E+10,94.44926279,6.95E+10,93.23413097
37,1.54E+11,3.76E+10,7.65E+10,3.29E+10,87.35522261,6.61E+10,86.38282302
38,1.48E+11,3.64E+10,7.26E+10,3.43E+10,94.24792118,6.72E+10,92.55433435
39,1.50E+11,3.68E+10,7.27E+10,3.46E+10,93.96687483,6.74E+10,92.72964976
40,1.54E+11,3.67E+10,7.62E+10,3.47E+10,94.5761788,7.09E+10,93.07923508
41,1.57E+11,3.68E+10,7.69E+10,3.46E+10,94.03804348,7.12E+10,92.53401604
