pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
BWP_Res	NC_045637.1_RagTag	1	100000	0.1266846361185983	35	282	2226	88326
BWP_Mig	NC_045637.1_RagTag	1	100000	0.1093216112886245	31	5919	54143	2540309
MP	NC_045637.1_RagTag	1	100000	0.0183437221727515	32	103	5615	255065
HP	NC_045637.1_RagTag	1	100000	0.0962962962962963	27	39	405	20175
BWP_Res	NC_045637.1_RagTag	100001	200000	0.0606060606060606	8	32	528	22308
BWP_Mig	NC_045637.1_RagTag	100001	200000	0.0838660892280195	8	1220	14547	639739
MP	NC_045637.1_RagTag	100001	200000	0.0276008492569002	8	39	1413	64327
HP	NC_045637.1_RagTag	100001	200000	0.0	6	0	90	5100
HP	NC_045637.1_RagTag	200001	300000	0.0536231884057971	46	37	690	82050
BWP_Res	NC_045637.1_RagTag	200001	300000	0.091324200913242	58	340	3723	360333
BWP_Mig	NC_045637.1_RagTag	200001	300000	0.0691713038168642	53	6004	86799	10343957
MP	NC_045637.1_RagTag	200001	300000	0.1023385761589404	55	989	9664	1038376
MP	NC_045637.1_RagTag	300001	400000	0.0530782576077272	120	1132	21327	1310573
BWP_Mig	NC_045637.1_RagTag	300001	400000	0.1459472809504453	145	28365	194351	13061559
BWP_Res	NC_045637.1_RagTag	300001	400000	0.1666666666666666	139	1361	8166	454494
HP	NC_045637.1_RagTag	300001	400000	0.1589333333333333	125	298	1875	103275
BWP_Res	NC_045637.1_RagTag	400001	500000	0.1735579377233282	194	2040	11754	484236
BWP_Mig	NC_045637.1_RagTag	400001	500000	0.1847578617462983	207	57536	311413	13899452
MP	NC_045637.1_RagTag	400001	500000	0.0526014865637507	165	1564	29733	1398117
HP	NC_045637.1_RagTag	400001	500000	0.1169230769230769	130	228	1950	110775
MP	NC_045637.1_RagTag	500001	600000	0.1160337552742616	37	715	6162	392838
BWP_Mig	NC_045637.1_RagTag	500001	600000	0.1245782893431236	49	10044	80624	3890476
BWP_Res	NC_045637.1_RagTag	500001	600000	0.107754279959718	48	321	2979	135621
HP	NC_045637.1_RagTag	500001	600000	0.0957264957264957	39	56	585	30915
BWP_Res	NC_045637.1_RagTag	600001	700000	0.1616310488823384	131	1316	8142	425346
BWP_Mig	NC_045637.1_RagTag	600001	700000	0.1816592535655532	148	38759	213361	12206727
MP	NC_045637.1_RagTag	600001	700000	0.0310469698583448	107	583	18778	1229142
HP	NC_045637.1_RagTag	600001	700000	0.0717948717948717	104	112	1560	96960
MP	NC_045637.1_RagTag	700001	800000	0.0284765068818224	47	240	8428	372142
HP	NC_045637.1_RagTag	700001	800000	0.0416666666666666	32	20	480	29565
BWP_Res	NC_045637.1_RagTag	700001	800000	0.1030612244897959	49	303	2940	129258
BWP_Mig	NC_045637.1_RagTag	700001	800000	0.1494811660771461	49	8917	59653	3728020
HP	NC_045637.1_RagTag	800001	900000	0.112	25	42	375	20310
BWP_Mig	NC_045637.1_RagTag	800001	900000	0.1389019723285251	39	9437	67940	2539749
BWP_Res	NC_045637.1_RagTag	800001	900000	0.1635220125786163	39	390	2385	88629
MP	NC_045637.1_RagTag	800001	900000	0.0429936305732484	25	189	4396	257614
MP	NC_045637.1_RagTag	900001	1000000	0.5157894736842106	2	196	380	158080
BWP_Mig	NC_045637.1_RagTag	900001	1000000	0.1417399804496578	2	290	2046	1575048
BWP_Res	NC_045637.1_RagTag	900001	1000000	0.0	2	0	132	54912
HP	NC_045637.1_RagTag	900001	1000000	NA	0	0	0	12510
HP	NC_045637.1_RagTag	1000001	1100000	0.1733333333333333	30	78	450	24570
MP	NC_045637.1_RagTag	1000001	1100000	0.0253813613639277	45	198	7801	309119
BWP_Mig	NC_045637.1_RagTag	1000001	1100000	0.1424364865578619	50	10787	75732	3078456
BWP_Res	NC_045637.1_RagTag	1000001	1100000	0.2187192118226601	49	666	3045	107043
BWP_Mig	NC_045637.1_RagTag	1100001	1200000	0.3464208242950108	5	1597	4610	2661700
HP	NC_045637.1_RagTag	1100001	1200000	0.0144927536231884	23	5	345	20805
BWP_Res	NC_045637.1_RagTag	1100001	1200000	0.1733091787439613	34	287	1656	91404
MP	NC_045637.1_RagTag	1100001	1200000	0.0175798417814239	27	60	3413	264487
BWP_Res	NC_045637.1_RagTag	1200001	1300000	0.2	5	66	330	24948
BWP_Mig	NC_045637.1_RagTag	1200001	1300000	0.3298104956268221	11	5430	16464	707789
MP	NC_045637.1_RagTag	1200001	1300000	0.0	11	0	2090	70680
HP	NC_045637.1_RagTag	1200001	1300000	0.0	6	0	90	5655
MP	NC_045637.1_RagTag	1300001	1400000	0.0073929961089494	15	19	2570	135370
HP	NC_045637.1_RagTag	1300001	1400000	0.1238095238095238	14	26	210	10680
BWP_Mig	NC_045637.1_RagTag	1300001	1400000	0.15	16	3177	21180	1351686
BWP_Res	NC_045637.1_RagTag	1300001	1400000	0.1178637200736648	19	128	1086	46830
BWP_Res	NC_045637.1_RagTag	1400001	1500000	0.0959595959595959	6	38	396	22770
BWP_Mig	NC_045637.1_RagTag	1400001	1500000	0.1345848757271285	6	1527	11346	652395
MP	NC_045637.1_RagTag	1400001	1500000	0.1684210526315789	6	192	1140	65550
HP	NC_045637.1_RagTag	1400001	1500000	0.0555555555555555	6	5	90	5175
HP	NC_045637.1_RagTag	1500001	1600000	0.0733333333333333	20	22	300	18825
MP	NC_045637.1_RagTag	1500001	1600000	0.050759219088937	25	234	4610	237640
BWP_Mig	NC_045637.1_RagTag	1500001	1600000	0.1340745398422316	25	4691	34988	2376037
BWP_Res	NC_045637.1_RagTag	1500001	1600000	0.1159135559921414	26	177	1527	82623
HP	NC_045637.1_RagTag	1600001	1700000	0.2666666666666666	6	24	90	11070
BWP_Res	NC_045637.1_RagTag	1600001	1700000	0.2754182754182754	14	214	777	48327
BWP_Mig	NC_045637.1_RagTag	1600001	1700000	0.2698337613190972	13	3993	14798	1392106
MP	NC_045637.1_RagTag	1600001	1700000	0.0218790218790218	14	51	2331	139029
HP	NC_045637.1_RagTag	1700001	1800000	0.05	12	9	180	12525
BWP_Res	NC_045637.1_RagTag	1700001	1800000	0.1468531468531468	13	126	858	55044
BWP_Mig	NC_045637.1_RagTag	1700001	1800000	0.125280494517126	13	2959	23619	1578058
MP	NC_045637.1_RagTag	1700001	1800000	0.1713780918727915	16	485	2830	158100
HP	NC_045637.1_RagTag	1800001	1900000	NA	0	0	0	2670
MP	NC_045637.1_RagTag	1800001	1900000	0.0	3	0	570	33250
BWP_Res	NC_045637.1_RagTag	1800001	1900000	0.101010101010101	3	20	198	11550
BWP_Mig	NC_045637.1_RagTag	1800001	1900000	0.104371269015983	3	542	5193	331405
BWP_Res	NC_045637.1_RagTag	1900001	2000000	0.1212121212121212	4	32	264	11154
BWP_Mig	NC_045637.1_RagTag	1900001	2000000	0.2149656266525647	4	1626	7564	319579
MP	NC_045637.1_RagTag	1900001	2000000	0.0	4	0	760	32110
HP	NC_045637.1_RagTag	1900001	2000000	0.0	4	0	60	2535
MP	NC_045637.1_RagTag	2000001	2100000	0.0	22	0	3958	289782
BWP_Mig	NC_045637.1_RagTag	2000001	2100000	0.1607440310938367	35	9264	57632	2865854
