query	grouping_confidence	location_confidence	orientation_confidence
scaffold_3103	1.0	1.0	1.0
scaffold_5748	1.0	1.0	1.0
scaffold_8437	1.0	1.0	1.0
scaffold_6385	1.0	1.0	1.0
scaffold_5696	1.0	0.00024904234637877006	0.5425785104777384
scaffold_9374	1.0	1.0	1.0
scaffold_6442	1.0	1.0	1.0
scaffold_1801	1.0	0.2910126469669416	0.5368007222937091
scaffold_6958	1.0	1.0	1.0
scaffold_5186	1.0	0.006253403812269742	0.5870901639344263
scaffold_1231	1.0	0.44114761156222154	1.0
scaffold_297	1.0	0.8604944029223882	1.0
scaffold_305	1.0	1.0	1.0
scaffold_26	1.0	1.0	1.0
scaffold_6953	1.0	1.0	1.0
scaffold_535	1.0	0.8787205524057004	1.0
scaffold_696	1.0	1.0	1.0
scaffold_5779	1.0	1.0	1.0
scaffold_3517	1.0	1.0	1.0
scaffold_369	1.0	0.9806110025022818	0.9991176632782486
scaffold_1851	0.7832814760086163	1.0	1.0
scaffold_1308	1.0	1.0	1.0
scaffold_446	1.0	0.9635768404123729	1.0
scaffold_7902	1.0	1.0	1.0
scaffold_2576	1.0	1.0	1.0
scaffold_2066	1.0	1.0	1.0
scaffold_221	1.0	0.9820475521482088	1.0
scaffold_2925	1.0	1.0	1.0
scaffold_3100	1.0	0.9498620946701454	0.9050728277247614
scaffold_774	1.0	0.7949450105285117	0.9937058693281067
scaffold_1322	1.0	1.0	1.0
scaffold_1124	1.0	0.8949117002301105	0.9722682895904653
scaffold_260	1.0	1.0	1.0
scaffold_8425	1.0	1.0	1.0
scaffold_798	1.0	1.0	1.0
scaffold_2580	1.0	1.0	1.0
scaffold_1295	1.0	1.0	1.0
scaffold_397	1.0	0.6488875420777077	0.9983176634088978
scaffold_7864	1.0	1.0	1.0
scaffold_4123	1.0	1.0	1.0
scaffold_159	1.0	0.9953648137112545	1.0
scaffold_327	0.9937931729703003	0.9843826152284361	1.0
scaffold_417	1.0	1.0	1.0
scaffold_1027	1.0	1.0	1.0
scaffold_3516	1.0	1.0	1.0
scaffold_1153	1.0	0.9880943410443825	1.0
